Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4.7uF,C23733
"C11, C7",0402,2,0.1uF,C1525
"C2, C3",0402,2,1uF,C52923
"C4, C5",0402,2,22pF,C1555
C6,0402,1,100 nF,C1525
"D1, D2, D3",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,C383211
J1,PinHeader_1x06_P2.54mm_Vertical,1,Screw_Terminal_01x06,
"J2, J3",PinHeader_1x15_P2.54mm_Vertical,2,Screw_Terminal_01x15,
"R1, R2",0402,2,1K,C11702
R3,0402,1,10k,C25744
SW2,SW_SPST_PTS810,1,PTS810,C116501
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ATmega328P-A,C7499261
Y1,OSC_X322516MLB4SI,1,X322516MLB4SI,C13738
